table_name,column_name,ordinal_position,data_type,udt_name,time_var,numeric,to_keep,data_table,completeness
admissiondx,admissiondxid,1,integer,int4,0,1,1,1,1
admissiondx,patientunitstayid,2,integer,int4,0,1,1,1,1
admissiondx,admitdxenteredoffset,3,integer,int4,1,1,1,1,1
admissiondx,admitdxpath,4,character varying,varchar,0,0,1,1,1
admissiondx,admitdxname,5,character varying,varchar,0,0,0,1,1
admissiondx,admitdxtext,6,character varying,varchar,0,0,0,1,1
apacheapsvar,apacheapsvarid,1,integer,int4,0,1,1,1,1
apacheapsvar,patientunitstayid,2,integer,int4,0,1,1,1,1
apacheapsvar,intubated,3,smallint,int2,0,1,1,1,1
apacheapsvar,vent,4,smallint,int2,0,1,1,1,1
apacheapsvar,dialysis,5,smallint,int2,0,1,1,1,1
apacheapsvar,eyes,6,smallint,int2,0,1,1,1,1
apacheapsvar,motor,7,smallint,int2,0,1,1,1,1
apacheapsvar,verbal,8,smallint,int2,0,1,1,1,1
apacheapsvar,meds,9,smallint,int2,0,1,1,1,1
apacheapsvar,urine,10,double precision,float8,0,1,1,1,1
apacheapsvar,wbc,11,double precision,float8,0,1,1,1,1
apacheapsvar,temperature,12,double precision,float8,0,1,1,1,1
apacheapsvar,respiratoryrate,13,double precision,float8,0,1,1,1,1
apacheapsvar,sodium,14,double precision,float8,0,1,1,1,1
apacheapsvar,heartrate,15,double precision,float8,0,1,1,1,1
apacheapsvar,meanbp,16,double precision,float8,0,1,1,1,1
apacheapsvar,ph,17,double precision,float8,0,1,1,1,1
apacheapsvar,hematocrit,18,double precision,float8,0,1,1,1,1
apacheapsvar,creatinine,19,double precision,float8,0,1,1,1,1
apacheapsvar,albumin,20,double precision,float8,0,1,1,1,1
apacheapsvar,pao2,21,double precision,float8,0,1,1,1,1
apacheapsvar,pco2,22,double precision,float8,0,1,1,1,1
apacheapsvar,bun,23,double precision,float8,0,1,1,1,1
apacheapsvar,glucose,24,double precision,float8,0,1,1,1,1
apacheapsvar,bilirubin,25,double precision,float8,0,1,1,1,1
apacheapsvar,fio2,26,double precision,float8,0,1,1,1,1
apachepatientresult,apachepatientresultsid,1,integer,int4,0,1,1,1,1
apachepatientresult,patientunitstayid,2,integer,int4,0,1,1,1,1
apachepatientresult,physicianspeciality,3,character varying,varchar,0,0,1,1,1
apachepatientresult,physicianinterventioncategory,4,character varying,varchar,0,0,0,1,1
apachepatientresult,acutephysiologyscore,5,integer,int4,0,1,1,1,1
apachepatientresult,apachescore,6,integer,int4,0,1,1,1,1
apachepatientresult,apacheversion,7,character varying,varchar,0,0,1,1,1
apachepatientresult,predictedicumortality,8,character varying,varchar,0,0,1,1,1
apachepatientresult,actualicumortality,9,character varying,varchar,0,0,1,1,1
apachepatientresult,predictediculos,10,double precision,float8,0,1,1,1,1
apachepatientresult,actualiculos,11,double precision,float8,0,1,1,1,1
apachepatientresult,predictedhospitalmortality,12,character varying,varchar,0,0,1,1,1
apachepatientresult,actualhospitalmortality,13,character varying,varchar,0,0,1,1,1
apachepatientresult,predictedhospitallos,14,double precision,float8,0,1,1,1,1
apachepatientresult,actualhospitallos,15,double precision,float8,0,1,1,1,1
apachepatientresult,preopmi,16,integer,int4,0,1,1,1,1
apachepatientresult,preopcardiaccath,17,integer,int4,0,1,1,1,1
apachepatientresult,ptcawithin24h,18,integer,int4,0,1,1,1,1
apachepatientresult,unabridgedunitlos,19,double precision,float8,0,1,1,1,1
apachepatientresult,unabridgedhosplos,20,double precision,float8,0,1,1,1,1
apachepatientresult,actualventdays,21,double precision,float8,0,1,0,1,0.336028599897665
apachepatientresult,predventdays,22,double precision,float8,0,1,0,1,0.32920178816686
apachepatientresult,unabridgedactualventdays,23,double precision,float8,0,1,0,1,0.336028599897665
apachepredvar,apachepredvarid,1,integer,int4,0,1,1,1,1
apachepredvar,patientunitstayid,2,integer,int4,0,1,1,1,1
apachepredvar,sicuday,3,smallint,int2,0,1,1,1,1
apachepredvar,saps3day1,4,smallint,int2,0,1,1,1,1
apachepredvar,saps3today,5,smallint,int2,0,1,1,1,1
apachepredvar,saps3yesterday,6,smallint,int2,0,1,1,1,1
apachepredvar,gender,7,smallint,int2,0,1,1,1,1
apachepredvar,teachtype,8,smallint,int2,0,1,1,1,1
apachepredvar,region,9,smallint,int2,0,1,1,1,1
apachepredvar,bedcount,10,smallint,int2,0,1,1,1,1
apachepredvar,admitsource,11,smallint,int2,0,1,1,1,1
apachepredvar,graftcount,12,smallint,int2,0,1,1,1,1
apachepredvar,meds,13,smallint,int2,0,1,1,1,1
apachepredvar,verbal,14,smallint,int2,0,1,1,1,1
apachepredvar,motor,15,smallint,int2,0,1,1,1,1
apachepredvar,eyes,16,smallint,int2,0,1,1,1,1
apachepredvar,age,17,smallint,int2,0,1,1,1,0.964457841882963
apachepredvar,admitdiagnosis,18,character varying,varchar,0,0,1,1,1
apachepredvar,thrombolytics,19,smallint,int2,0,1,1,1,1
apachepredvar,diedinhospital,20,smallint,int2,0,1,1,1,1
apachepredvar,aids,21,smallint,int2,0,1,1,1,1
apachepredvar,hepaticfailure,22,smallint,int2,0,1,1,1,1
apachepredvar,lymphoma,23,smallint,int2,0,1,1,1,1
apachepredvar,metastaticcancer,24,smallint,int2,0,1,1,1,1
apachepredvar,leukemia,25,smallint,int2,0,1,1,1,1
apachepredvar,immunosuppression,26,smallint,int2,0,1,1,1,1
apachepredvar,cirrhosis,27,smallint,int2,0,1,1,1,1
apachepredvar,electivesurgery,28,smallint,int2,0,1,0,1,0.194278436939542
apachepredvar,activetx,29,smallint,int2,0,1,1,1,1
apachepredvar,readmit,30,smallint,int2,0,1,1,1,1
apachepredvar,ima,31,smallint,int2,0,1,1,1,1
apachepredvar,midur,32,smallint,int2,0,1,1,1,1
apachepredvar,ventday1,33,smallint,int2,0,1,1,1,1
apachepredvar,oobventday1,34,smallint,int2,0,1,1,1,1
apachepredvar,oobintubday1,35,smallint,int2,0,1,1,1,1
apachepredvar,diabetes,36,smallint,int2,0,1,1,1,1
apachepredvar,managementsystem,37,smallint,int2,0,1,1,1,1
apachepredvar,var03hspxlos,38,double precision,float8,0,1,1,1,1
apachepredvar,pao2,39,double precision,float8,0,1,1,1,1
apachepredvar,fio2,40,double precision,float8,0,1,1,1,1
apachepredvar,ejectfx,41,double precision,float8,0,1,1,1,1
apachepredvar,creatinine,42,double precision,float8,0,1,1,1,1
apachepredvar,dischargelocation,43,smallint,int2,0,1,1,1,1
apachepredvar,visitnumber,44,smallint,int2,0,1,1,1,1
apachepredvar,amilocation,45,smallint,int2,0,1,1,1,1
apachepredvar,day1meds,46,smallint,int2,0,1,1,1,1
apachepredvar,day1verbal,47,smallint,int2,0,1,1,1,1
apachepredvar,day1motor,48,smallint,int2,0,1,1,1,1
apachepredvar,day1eyes,49,smallint,int2,0,1,1,1,1
apachepredvar,day1pao2,50,double precision,float8,0,1,1,1,1
apachepredvar,day1fio2,51,double precision,float8,0,1,1,1,1
diagnosis,diagnosisid,1,integer,int4,0,1,1,1,1
diagnosis,patientunitstayid,2,integer,int4,0,1,1,1,1
diagnosis,activeupondischarge,3,character varying,varchar,0,0,1,1,1
diagnosis,diagnosisoffset,4,integer,int4,1,1,1,1,1
diagnosis,diagnosisstring,5,character varying,varchar,0,0,1,1,1
diagnosis,icd9code,6,character varying,varchar,0,0,1,1,1
diagnosis,diagnosispriority,7,character varying,varchar,0,0,1,1,1
hospital,hospitalid,1,integer,int4,0,1,1,0,1
hospital,numbedscategory,2,character varying,varchar,0,0,1,0,0.798076923076923
hospital,teachingstatus,3,boolean,bool,0,1,1,0,1
hospital,region,4,character varying,varchar,0,0,1,0,0.875
lab,labid,1,integer,int4,0,1,1,1,1
lab,patientunitstayid,2,integer,int4,0,1,1,1,1
lab,labresultoffset,3,integer,int4,1,1,1,1,1
lab,labtypeid,4,numeric,numeric,0,1,1,1,1
lab,labname,5,character varying,varchar,0,0,1,1,1
lab,labresult,6,numeric,numeric,0,1,1,1,0.994134854195861
lab,labresulttext,7,character varying,varchar,0,0,0,1,1
lab,labmeasurenamesystem,8,character varying,varchar,0,0,1,1,1
lab,labmeasurenameinterface,9,character varying,varchar,0,0,0,1,1
lab,labresultrevisedoffset,10,integer,int4,0,1,1,1,1
medication,medicationid,1,integer,int4,0,1,1,1,1
medication,patientunitstayid,2,integer,int4,0,1,1,1,1
medication,drugorderoffset,3,integer,int4,0,1,1,1,1
medication,drugstartoffset,4,integer,int4,1,1,1,1,1
medication,drugivadmixture,5,character varying,varchar,0,0,1,1,1
medication,drugordercancelled,6,character varying,varchar,0,0,1,1,1
medication,drugname,7,character varying,varchar,0,0,1,1,0.643158524281439
medication,drughiclseqno,8,integer,int4,0,1,1,1,0.932751453637864
medication,dosage,9,character varying,varchar,0,0,1,1,0.919087661720936
medication,routeadmin,10,character varying,varchar,0,0,1,1,0.999914953094783
medication,frequency,11,character varying,varchar,0,0,1,1,0.904750479090719
medication,loadingdose,12,character varying,varchar,0,0,0,1,1
medication,prn,13,character varying,varchar,0,0,1,1,1
medication,drugstopoffset,14,integer,int4,0,1,1,1,1
medication,gtc,15,integer,int4,0,1,0,1,1
nurseassessment,nurseassessid,1,integer,int4,0,1,1,1,1
nurseassessment,patientunitstayid,2,integer,int4,0,1,1,1,1
nurseassessment,nurseassessoffset,3,integer,int4,1,1,1,1,1
nurseassessment,nurseassessentryoffset,4,integer,int4,0,1,0,1,1
nurseassessment,cellattributepath,5,character varying,varchar,0,0,1,1,1
